id,title,desc,date,source,url,category
1,JTR Berikan Diskon 50% untuk Pengiriman APD , Di tengah pandemi virus covid19 yang terjadi di Indonesia saat ini JNE memberikan diskon biaya kirim Alat Pelindung Diri (APD) sebesar 50% dengan menggunakan layanan JNE Trucking (JTR).,2020-04-16 00:44:00,Gatra.com,https://www.gatra.com/detail/news/475719/ekonomi/jtr-berikan-diskon-50-untuk-pengiriman-apd-,Ekonomi
2,BI 7 Day Reverse Repo Rate Tetap 450% ,Rapat Dewan Gubernur (RDG) Bank Indonesia pada 13 sampai 14 April 2020 memutuskan untuk mempertahankan BI 7Day Reverse Repo Rate (BI7DRR) sebesar 450% suku bunga Deposit Facility sebesar 375% dan suku bunga Lending Facility sebesar 525%. Keputusan mempertahankan suku bunga kebijakan ini adalah yang pertama dalam tiga bulan terakhir setelah penurunan suku bunga pada Februari dan Maret 2020 masingmasing sebesar 25 bps itu disampaikan Kepala Perwakilan Bank Indonesia Provinsi Bali Trisno NugrohoRabu(154) di Renon Kota Denpasar Provinsi Bali.,2020-04-16 06:07:00,Gatra.com,https://www.gatra.com/detail/news/475733/ekonomi/bi-7-day-reverse-repo-rate-tetap-450-,Ekonomi
3,Ketersediaan Pasokan Listrik Krusial Cegah Penyebaran Corona, Kebutuhan listrik di tengah pandemi dan pascapandemi menjadi hal yang krusial. Berbagai penanganan medis dan nonmedis untuk pencegahan penyebaran covid19 serta terjaminnya proses berkegiatan di rumah untuk bekerja maupun belajar memerlukan jaminan stabilitas listrik. Oleh karena itu berbagai kalangan meminta pemerintah untuk menegaskan ketersediaan pasokan listrik dan jangkauan elektifikasinya.,2020-04-16 07:37:00,Gatra.com,https://www.gatra.com/detail/news/475736/ekonomi/ketersediaan-pasokan-listrik-krusial-cegah-penyebaran-corona,Ekonomi
4,Pemkab TTU Akan Fasilitasi Pekerja yang Kena PHK ,Pemerintah Kabupaten Timor Tengah Utara (TTU) menghimbau tenaga yang kerja yang terkena PHK terkait dampak Covid 19 untuk melaporkan diri.,2020-04-16 00:31:00,Gatra.com,https://www.gatra.com/detail/news/475716/ekonomi/pemkab-ttu-akan-fasilitasi-pekerja-yang-kena-phk-,Ekonomi
5,Corona Melebihi Gempa Lombok Barat Musrenbang Virtual,Kondisi penyebaran Covid19 yang masih membutuhkan penanganan intensif berimbas pada pelaksanaan pertemuan yang melibatkan banyak peserta dibatasi. Karena itu Pemkab Lombok Barat Provinsi Nusa Tenggara Barat menggelar Musyawarah Pembangunan Daerah (Musrenbang) secara virtualonline Rabu (154) di Lombok Barat. Musrenbang virtual ini diikuti anggota Forum Komunikasi Pimpinan Daerah (Forkompinda) Lombok Barat ratusan peserta dari seluruh Kepala Organisasi Perangkat Daerah organisasi wanita organisasi kemasyarakatan lainnya. Musrenbang virtual ini dilakukan secara life (langsung) dimana para peserta berada di ruang kerja masingmasing dan dialog dilakukan secara teleconference.,2020-04-16 05:37:00,Gatra.com,https://www.gatra.com/detail/news/475726/ekonomi/-corona-melebihi-gempa-lombok-barat-musrenbang-virtual,Ekonomi
6,Pemberlakuan PSBB Bakal Pengaruhi Produksi CPO di Riau,"
",2020-04-15 15:42:00,Gatra.com,https://www.gatra.com/detail/news/475619/ekonomi/pemberlakuan-psbb-bakal-pengaruhi-produksi-cpo-di-riau,Ekonomi
7,Ditengah COVID-19 Petani Sawit Tetap Optimis,Meski diterpa C,2020-04-16 15:17:00,Gatra.com,https://www.gatra.com/detail/news/475768/ekonomi/ditengah-covid-19-petani-sawit-tetap-optimis,Ekonomi
8,Strategi Bisnis Saat Ramadan di Tengah Covid-19,Wabah Covid19 tidak hanya menimbulkan ratusan kematian warga tetapi juga melemahkan sektor perekonomian. Menjelang Ramadan 2020 banyak sektor usaha yang tidak dapat beroperasi layaknya Ramadan 2019. Lalu bagaimana mengatasi hal tersebut dan apa saja potensi bisnis yang bakal meraup untung pada situasi seperti ini?,2020-04-15 15:49:00,Gatra.com,https://www.gatra.com/detail/news/475623/ekonomi/strategi-bisnis-saat-ramadan-di-tengah-covid-19,Ekonomi
9,Ekspor Pertanian Naik Sebesar US$320 Juta,Di tengah wabah pandemi virus covid19 neraca perdagangan Indonesia justru mengalami surplus sebesar US$743. Surplus terjadi karena nilai ekspor mencapai US$1409 miliar atau tumbuh 023% dari US$1406 miliar pada Februari 2020.,2020-04-15 17:54:00,Gatra.com,https://www.gatra.com/detail/news/475646/ekonomi/ekspor-pertanian-naik-sebesar-us320-juta,Ekonomi
10,Sebulan Melaut di Perairan Natuna Nelayan Pantura Merugi , Sebanyak 30 kapal cantrang nelayan dari Kota Tegal Jawa Tengah sudah melaut di perairan Natuna Kepulauan Riau untuk menjaga kedaulatan wilayah Indonesia dari kapal asing sejak awal Maret lalu. Bagaimana kabar mereka kini?,2020-04-15 17:52:00,Gatra.com,https://www.gatra.com/detail/news/475644/ekonomi/sebulan-melaut-di-perairan-natuna-nelayan-pantura-merugi-,Ekonomi
11,Terdampak Corona Nelayan Tegal Berharap Keringanan Kredit, Nelayan di Kota Tegal Jawa Tengah turut terdampak mewabahnya virus corona (Covid19). Karena itu mereka berharap mendapat keringanan kredit di bank seperti didapatkan sektor usaha lainnya.,2020-04-15 15:59:00,Gatra.com,https://www.gatra.com/detail/news/475624/ekonomi/terdampak-corona-nelayan-tegal-berharap-keringanan-kredit,Ekonomi
12,Pandemi Covid-19 Polres Kebumen Siap Kawal Armada Sembako,Kapolres Kebumen AKBP Rudy Cahya Kurniawan menegaskan sampai dengan saat ini Polres Kebumen tidak memberlakukan penutup arus selama Pandemi Corona Covid19. Bahkan kepolisian siap mengawal pendistribusian bahan pokok. “Semua jalan terbuka lebar namun kepada warga masyarakat tetap harus patuh kepada pemerintah tentang social distancing dan physical distancing” kata kapolres saat pembagian bantuan paket sembako untuk tukang becak dan ojek Rabu (154).,2020-04-16 06:03:00,Gatra.com,https://www.gatra.com/detail/news/475734/ekonomi/pandemi-covid-19-polres-kebumen-siap-kawal-armada-sembako,Ekonomi
13,Tangani Covid-19 BUMN Perlu Kerja Berkali-Kali Lipat,Pengamat Badan Usaha Negara (BUMN) dari Universitas Indonesia (UI) Toto Pranoto berpandangan situasi ,2020-04-15 19:22:00,Gatra.com,https://www.gatra.com/detail/news/475664/ekonomi/tangani-covid-19-bumn-perlu-kerja-berkali-kali-lipat,Ekonomi
