id,title,desc,date,source,url,category
1,Bea Cukai Kepri Gagalkan Rokok Ilegal Senilai Rp10 Miliar,Kantor Wilayah (Kanwil) Khusus DJBC Kepulauan Riau (Kepri) berhasil menggagalkan pengiriman 10 jutaan batang rokok tanpa cukai senilai Rp10 miliar di Tanjungbalai Karimun Kepri Minggu (124). ,2020-04-14 13:18:00,Gatra.com,https://www.gatra.com/detail/news/475452/hukum/bea-cukai-kepri-gagalkan-rokok-ilegal-senilai-rp10-miliar,Hukum
2,Kapolres Batanghari Terima 5 Senpi Rakitan dari Warga Bungku,"
",2020-04-14 20:00:00,Gatra.com,https://www.gatra.com/detail/news/475525/hukum/kapolres-batanghari-terima-5-senpi-rakitan-dari-warga-bungku,Hukum
3,Kapolres Sumba Timur Jangan Mudah Terprovokasi Hoaks , Di tengah situasi pandemi wabah Covid 19 masyarakat diimbau untuk tidak udah mempercayai informasi dari media sosial yang belum tentu keberanarannya. Setiap informasi harus disaring mana yang salah dan benar agar tidak menimbulkan kegaduhan.,2020-04-14 23:58:00,Gatra.com,https://www.gatra.com/detail/news/475561/hukum/kapolres-sumba-timur-jangan-mudah-terprovokasi-hoaks-,Hukum
4,Polda Maluku Akan Kawal Pemakaman Pasien Corona,Kepolisian Daerah (Polda) Maluku akan melakukan pengawalan khusus pada proses pemakanan warga yang meninggal akibat Covid19 di wilayahnya. ,2020-04-14 20:26:00,Gatra.com,https://www.gatra.com/detail/news/475532/hukum/polda-maluku-akan-kawal-pemakaman-pasien-corona,Hukum
5,Kejaksaan Ingatkan Jangan Main-main Mark Up Dana Corona,"
",2020-04-14 13:36:00,Gatra.com,https://www.gatra.com/detail/news/475456/hukum/kejaksaan-ingatkan-jangan-main-main-mark-up-dana-corona,Hukum
6,Ruangguru Milik Stafsus Penunjukan Vendor Rawan Nepotisme, Selain menilai stimulus yang diberikan melalui Kartu Prakerja dalam bentuk pelatihan online tidak tepat. Ketua Umum Pimpinan Gerakan Pemuda (GP) Ansor Yaqut Cholil Qoumas (Gus Yaqut) juga menyebut rawan kental dugaan nepotime.,2020-04-15 16:57:00,Gatra.com,https://www.gatra.com/detail/news/475638/hukum/ruangguru-milik-stafsus-penunjukan-vendor-rawan-nepotisme,Hukum
7,Penolakan Jenazah di Banyumas Tiga Orang Jadi Tersangka, Polisi menetapkan tiga orang tersangka dalam kasus penolakan pemakaman jenazah pasien terinfeksi virus corona (Covid19) di Kabupaten Banyumas Jawa Tengah.,2020-04-15 17:03:00,Gatra.com,https://www.gatra.com/detail/news/475637/hukum/penolakan-jenazah-di-banyumas-tiga-orang-jadi-tersangka,Hukum
8,MK Diminta Nyatakan Pasal 27 Perppu 12020 Kontra UUD 1945, Masyarakat Anti Korupsi Indonesia (MAKI) Yayasan Mega Bintang 1997 LP3HI KEMAKI dan LBH PEKA meminta Mahkamah Konstitusi (MK) membatalkan Pasal 27 Peraturan Pemerintan Pengganti UndangUndang (Perppu) Nomor 1 Tahun 2020 yang baru diteken Presiden Joko Widodo (Jokowi) terkait kebijakan dan stabilitas keuangan untuk penanganan pandemi Coronavirus Disease 2019 (Covid)19.,2020-04-10 17:45:00,Gatra.com,https://www.gatra.com/detail/news/475131/hukum/mk-diminta-nyatakan-pasal-27-perppu-12020-kontra-uud-1945,Hukum
9,Lantik 4 Pejabat KPK Firli Penegakan Hukum Tanpa Gaduh,Komisi Pemberantasan Korupsi (KPK) melantik pejabat struktural baru yaitu Deputi Penindakan Deputi informasi dan data Direktur Penyelidikan dan Kepala Biro Hukum.,2020-04-14 13:26:00,Gatra.com,https://www.gatra.com/detail/news/475453/hukum/lantik-4-pejabat-kpk-firli-penegakan-hukum-tanpa-gaduh,Hukum
10,Polisi Amankan 39 Kg Sabu di Perumahan Elit Jambi,Bahaya Corona Virus tidak menyurutkan pelaku kejahatan menjual barang haram narkoba. Petugas Direktorat Reserse Narkoba Polda Jambi mengungkap tempat penyimpanan ini di sebuah perumahan elit Citra Raya City di kawasan Muaro Jambi.,2020-04-15 04:28:00,Gatra.com,https://www.gatra.com/detail/news/475569/hukum/polisi-amankan-39-kg-sabu-di-perumahan-elit-jambi,Hukum
11,Rapid Test Corona TKI Ilegal Menunjukkan Negatif,Hasil pemeriksaan rapid test terhadap keseluruhan Tenaga Kerja Indonesia (TKI) ilegal yang dipulangkan dari Malaysia menunjukkan negatif. Namun keseluruhannya akan tetap diawasi.,2020-04-12 00:36:00,Gatra.com,https://www.gatra.com/detail/news/475233/hukum/rapid-test-corona-tki-ilegal-menunjukkan-negatif,Hukum
12,Rusuh di Lapas Manado Bakar Gedung dan Satu Napi Tertembak,Kerusahan berlangsung di Lembaga Pemasyarakatan Kelas IIA Manado di Kecamatan Tuminting Sulawesi Utara Sabtu petang hingga malam (114). Terpantau di lokasi hingga pukul 19.00 Wita aparat keamanan gabungan belum berhasil memadamkan rusuh massa yang melibatkan ratusan warga binaan atau narapidana (Napi).,2020-04-11 21:31:00,Gatra.com,https://www.gatra.com/detail/news/475217/hukum/rusuh-di-lapas-manado-bakar-gedung-dan-satu-napi-tertembak,Hukum
13,Polisi Batanghari Ringkus Pencuri Motor Masjid At-Taqwa,Wabah COVID19 tidak menghalangi Ikhsan Nusabakti (23) warga RT 06 Desa Rantau Kapas Tuo Kecamatan Muara Tembesi Kabupaten Batanghari Jambi menjalani aksi kejahatan.  ,2020-04-12 10:25:00,Gatra.com,https://www.gatra.com/detail/news/475243/hukum/polisi-batanghari-ringkus-pencuri-motor-masjid-at-taqwa,Hukum
14,Selain Ditampar Perawat ini Juga Diancam akan Dibunuh ,Hidayatul Munawaroh (30) perawat yang menjadi korban penganiayaan mengaku sempat diancam akan dibunuh oleh Budi Cahyono. ,2020-04-12 14:55:00,Gatra.com,https://www.gatra.com/detail/news/475261/hukum/selain-ditampar-perawat-ini-juga-diancam-akan-dibunuh-,Hukum
15,Pengamat Nilai Pasal 11 Permenhub 182020 Menyesatkan, Pemerhati Kebijakan Publik dan Perlindungan konsumen Agus Pambagio menilai Pasal 11 Ayat (1) huruf d Peraturan Menteri Perhubungan (Permenhub) Nomor 18 Tahun 2020 soal ketentuan angkutan orang atau penumpang menggunakan kendaraan roda dua atau sepeda motor sangat menyesatkan.,2020-04-12 13:58:00,Gatra.com,https://www.gatra.com/detail/news/475258/hukum/pengamat-nilai-pasal-11-permenhub-182020-menyesatkan,Hukum
16,3 Provokator Juga Halangi Petugas Pemakaman Jenazah Perawat, Tak hanya memprovokasi warga untuk menolak pemakaman jenazah perawat positif Corona ketiga terduga pelaku provokator yakni THP (31) BSA (54) dan STM (60) juga disebut menghalanghalangi petugas pemakamam.,2020-04-11 20:10:00,Gatra.com,https://www.gatra.com/detail/news/475210/hukum/3-provokator-juga-halangi-petugas-pemakaman-jenazah-perawat,Hukum
17,Kasus Kamtibmas Menurun Selama Pandemik Covid-19, Kepala Bagian Penerangan Umum (Kabag Penum) Humas Polri Kombes Pol. Asep Adi Saputra mengatakan angka kasus gangguan keamanan dan ketertiban masyarakat secara nasional (kamtimbnas) menurun signifikan saat pandemi ,2020-04-09 17:22:00,Gatra.com,https://www.gatra.com/detail/news/475012/hukum/kasus-kamtibmas-menurun-selama-pandemik-covid-19,Hukum
18,Polri Usut 18 Kasus Penyimpangan Produksi dan Distribusi APD, Polri telah mengungkap 18 kasus dugaan penyimpangan atau penyalahgunaan dalam produksi dan pendistribusian alat pelindung diri (APD) selama pandemi Coronavirus Disease 2019 (Covid)19.,2020-04-09 16:42:00,Gatra.com,https://www.gatra.com/detail/news/475009/hukum/polri-usut-18-kasus-penyimpangan-produksi-dan-distribusi-apd,Hukum
19,Polda Jateng Tangkap 3 Provokator Penolak Jenazah Perawat, Polda Jawa Tengah mengamankan 3 orang yang diduga sebagai provokator penolakan jenazah perawat positif Covid19 di Tempat Pemakaman Umum (TPU) Siwarak Sewakul Kelurahan Bandarjo Kecamatan Ungaran Kabupaten Semarang hari Kamis (94) lalu.,2020-04-11 19:15:00,Gatra.com,https://www.gatra.com/detail/news/475208/hukum/polda-jateng-tangkap-3-provokator-penolak-jenazah-perawat,Hukum
20,Keluar Penjara Karena Corona Masuk Lagi Karena Mencuri,Menjadi salah satu napi yang mendapatkan pembebasan melalui asimilasi tidak lantas membuat Hamsari (20) warga Kelurahan Telanaipura memafaatkan kebebasannya itu untuk bertaubat. Ia justru kembali melakukan aksi pencurian. Alhasil pemuda ini harus berurusan dengan pihak berwajib. ,2020-04-14 19:26:00,Gatra.com,https://www.gatra.com/detail/news/475522/hukum/keluar-penjara-karena-corona-masuk-lagi-karena-mencuri,Hukum
