id,title,desc,date,source,url,category
1,Sebulan Corona Yogya Gunung Es Masalah & 2 Gelombang Baru,Satu bulan sejak diumumkan pasien positif pertama kasus Covid19 di Daerah Istimewa Yogyakarta terus bertambah. Jika diratarata dua orang positif Covid19 di DIY per hari. Banyak kematian terjadi bukan hanya pada kasus positif melainkan juga saat masa penantian hasil tes.,2020-04-16 08:25:00,Gatra.com,https://www.gatra.com/detail/news/475738/kesehatan/sebulan-corona-yogya-gunung-es-masalah--2-gelombang-baru,Kesehatan
2,Lima Pasien Covid-19 di Kepri Sembuh Tim Medis Tunai Pujian,"
							",2020-04-16 11:27:00,Gatra.com,https://www.gatra.com/detail/news/475743/kesehatan/lima-pasien-covid-19-di-kepri-sembuh-tim-medis-tunai-pujian,Kesehatan
3,50 Anggota DPRD KBB Ramai-ramai Rapid Test,"
",2020-04-16 13:08:00,Gatra.com,https://www.gatra.com/detail/news/475752/kesehatan/50-anggota-dprd-kbb-ramai-ramai-rapid-test,Kesehatan
4,Dihantam Pagebluk PMI Pati Ketar-ketir Jelang Ramadan,PMI Kabupaten Pati Jawa Tengah ketarketir lantaran semakin menipisnya stok darah. Apalagi sebentar lagi mendekati bulan Ramadan yang notabene jumlah pendonor dipastikan bakal berkurang.,2020-04-16 16:51:00,Gatra.com,https://www.gatra.com/detail/news/475778/kesehatan/dihantam-pagebluk-pmi-pati-ketar-ketir-jelang-ramadan,Kesehatan
5,Spontanitas Karyawati PLN Galang Donasi RSAM Bukittinggi, Ganasnya wabah virus corona menggerakkan karyawati PT PLN Unit Induk Wilayah Sumatra Barat (Sumbar) menggalang donasi untuk petugas jaga RSUD Achmad Mochtar (RSAM) Bukittinggi.,2020-04-16 16:20:00,Gatra.com,https://www.gatra.com/detail/news/475775/kesehatan/spontanitas-karyawati-pln-galang-donasi-rsam-bukittinggi,Kesehatan
6,Wali Kota Siantar Imbau Warganya Tak Mudik Lebaran Tahun Ini, Masih merebaknya pandemi Coronavirus Disease 2019 (Covid19) warga Siantar diimbau tidak mudik baik keluar maupun masuk ke Kota Siantar Sumatra Utara. Imbauan ini dateng seiring semakin dekatnya bulan Ramadan dan Hari Raya Idulfitri di mana banyak perantau yang kembali ke rumah untuk merayakan hari raya bersama keluarga besarnya.,2020-04-15 16:17:00,Gatra.com,https://www.gatra.com/detail/news/475628/kesehatan/wali-kota-siantar-imbau-warganya-tak-mudik-lebaran-tahun-ini,Kesehatan
7,Persepsi Keliru tentang Rokok Elektrik Timbulkan Keresahan,Di tengah pandemi virus corona (Covid19) informasi kerap kali diteruskan tanpa memberikan konteks maupun akurasi yang jelas. Berbagai informasi yang keliru dan persepsi dapat menciptakan keresahan publik mulai dari isu penyebaran situasi ekonomi tak terkecuali informasi mengenai rokok elektrik dan produk tembakau alternatif lainnya yang dikaitkan dengan Covid19. Padahal produk ini telah membantu banyak perokok dewasa sebagai salah satu alternatif yang lebih baik untuk mendapatkan asupan nikotin.,2020-04-16 15:33:00,Gatra.com,https://www.gatra.com/detail/news/475774/kesehatan/persepsi-keliru-tentang-rokok-elektrik-timbulkan-keresahan,Kesehatan
8,Rapid Test Covid-19 Lima Warga Gunungkidul Positif ,Lima warga Kabupaten Gunungkidul Daerah Istimewa Yogyakarta dinyatakan positif Covid19 setelah mengikuti ,2020-04-16 14:50:00,Gatra.com,https://www.gatra.com/detail/news/475763/kesehatan/rapid-test-covid-19-lima-warga-gunungkidul-positif-,Kesehatan
9,Tambang Emas Martabe Berikan Bantuan APD Kepada Wartawan,PT Agincourt Resources (PTAR) selaku pengelola tambang emas Martabe di Batangtoru Kabupaten Tapanuli Selatan (Tapsel) Sumatera Utara (Sumut) menyalurkan bantuan alat perlindungan diri (APD) dan kesehatan kepada sejumlah wartawan yang bertugas di wilayah Kota Sibolga dan Kabupaten Tapanuli Tengah (Tapteng).,2020-04-16 14:02:00,Gatra.com,https://www.gatra.com/detail/news/475759/kesehatan/tambang-emas-martabe-berikan-bantuan-apd-kepada-wartawan,Kesehatan
10,363 Orang di Jateng Masuk Kategori OTG, Dinas Kesehatan Jawa Tengah mencatat sebanyak 363 orang di wilayahnya dinyatakan masuk dalam daftar orang tanpa gelaja (OTG) atau asimtonatis Virus Corona.,2020-04-15 17:17:00,Gatra.com,https://www.gatra.com/detail/news/475642/kesehatan/363-orang-di-jateng-masuk-kategori-otg,Kesehatan
