id,title,desc,date,source,url,category
1,Mendagri Usulkan Ini Jika Pilkada Serentak Terpaksa di 2021, Menteri Dalam Negeri (Mendagri) Tito Karnavian menyampaikan opsi skenario kedua jika pemilihan kepala daerah (Pilkada) serentak tidak bisa digelar 9 Desember tahun ini atau harus digelar tahun 2021.,2020-04-15 13:40:00,Gatra.com,https://www.gatra.com/detail/news/475606/politik/mendagri-usulkan-ini-jika-pilkada-serentak-terpaksa-di-2021,Politik
2,ICJR DPR Ternyata Lebih Pilih Bahas RUU Bermasalah ,Rencana DPR RI yang menginginkan pembahasan Revisi Kitab UndangUndang Hukum Pidana (RKUHP) dipercepat serta masih dibahasnya RUU Cipta Kerja (Ciptaker) atau yang lebih dikenal dengan Omnibus Law Ciptaker terus menuai protes. Pasalnya pembahasan dilakukan di tengah pandemi Covid19 yang masih terus meluas dan belum ada tandatanda penurunan dari yang sudah positif terjangkit virus tersebut. ,2020-04-14 20:24:00,Gatra.com,https://www.gatra.com/detail/news/475516/politik/icjr-dpr-ternyata-lebih-pilih-bahas-ruu-bermasalah-,Politik
3,Gara-gara Berita Jubir Gugus Tugas Akan Dipanggil DPRD,"DPRD Asahan akan memanggil juru bicara Gugus Tugas Percepatan Penanganan Covid19 kabupaten Asahan Rahmat Hidayat Siregar. Ketua Komisi D DPRD Asahan Irwansyah Siagian mengatakan pemanggilan Kepala Dinas Kominfo Pemkab Asahan tersebut  akan dipanggil bersamaan dengan Bupati Asahan Surya terkait dengan  pernyataan pejabat ini di salah satu media online yang menyatakan anggaran untuk penanganan Covid 19 sedang di godok DPRD. ""Hasil Rapat Dengar Pendapat  lintas Komisi kita sudah sepakati Kadis Kominfo Pemkab Asahan turut juga akan kita panggil pada Kamis (164) mendatang"" ujarnya kepada Gatra.com Selasa (144).",2020-04-15 06:39:00,Gatra.com,https://www.gatra.com/detail/news/475571/politik/gara-gara-berita-jubir-gugus-tugas-akan-dipanggil-dprd,Politik
4,PKS Jateng Bagikan Sembako untuk Pekerja Informal,Dewan Pimpinan Wilayah Partai Keadilan Sejahtera (PKS) Jawa Tengah menyalurkan bantuan bagi pekerja informal yang terkena dampak pandemi Virus Corona atau Covid19. Bantuan berupa 87 ton beras dan 17.854 paket Sembilan bahan pokok (sembako) senilai Rp640 juta dibagikan kepada sekuriti pedagang sales tukang sapu driver ojek online dan takmir masjid.,2020-04-15 06:52:00,Gatra.com,https://www.gatra.com/detail/news/475541/politik/pks-jateng-bagikan-sembako-untuk-pekerja-informal,Politik
5,Pilkada 9 Desember KPU Provinsi Jambi Tunggu Perppu, Mendagri Komisi II DPR RI KPU RI Bawaslu Ri serta DKPP telah menyepakati Pemilihan Kepala Daerah (Pilkada) serentak ditunda hingga 9 Desember 2020.,2020-04-15 16:07:00,Gatra.com,https://www.gatra.com/detail/news/475626/politik/pilkada-9-desember-kpu-provinsi-jambi-tunggu-perppu,Politik
6,Bawaslu Batanghari Bagi Masker ke Pengendara Mobil dan Motor,"Badan Pengawas Pemilihan Umum (Bawaslu) Kabupaten Batanghari Jambi melakukan kegiatan bagibagi masker ke pengendara. Kegiatan berlangsung di Jalan Gajah Mada Muara Bulian. ""Bakti sosial berupa pembagian masker merupakan wujud kepedulian Bawaslu Batanghari dalam rangka HUT Bawaslu ke 12"" kata Komisioner Bawaslu Batanghari Iskandar kepada Gatra.com melalui pesan WhatsApp Kamis (94).",2020-04-10 12:24:00,Gatra.com,https://www.gatra.com/detail/news/475088/politik/bawaslu-batanghari-bagi-masker-ke-pengendara-mobil-dan-motor,Politik
7,TKI Ilegal Diamankan di Tangkahan Desa Simandulang,Sebanyak 36 orang Tenaga Kerja Indonesia (TKI) ilegal dari Malaysia diamankan petugas gabungan di Labuhan Batu Utara (Labura). TKI dari berasal dari berbagai daerah tersebut pulang ke tanah air dari jalur laut. ,2020-04-10 06:36:00,Gatra.com,https://www.gatra.com/detail/news/475076/politik/tki-ilegal-diamankan-ditangkahan-desa-simandulang,Politik
8,Kritik Jokowi Ansor Pelatihan Online Prakerja Tidak Tepat, Stimulus Presiden Joko Widodo yang menyedot anggaran mencapai Rp20 triliun melalui pelatihan online Kartu Prakerja terhadap pekerja yang terdampak pandemi corona dikritik Gerakan Pemuda (GP) Ansor.,2020-04-15 16:24:00,Gatra.com,https://www.gatra.com/detail/news/475629/politik/kritik-jokowi-ansor-pelatihan-online-prakerja-tidak-tepat,Politik
9,Legislator PDI-P Minta DPR Hentikan Pembahasan RUU Ciptaker,Anggota Komisi IX DPR RI Ribka Tjiptaning menyayangkan sikap DPR yang tetap akan melanjutkan pembahasan Rancangan UndangUndang (RUU) Omnibus Law Cipta Kerja (Ciptaker) di tengah kian merebaknya mewabaknya ,2020-04-12 12:21:00,Gatra.com,https://www.gatra.com/detail/news/475254/politik/legislator-pdi-p-minta-dpr-hentikan-pembahasan-ruu-ciptaker,Politik
10,OPM Akui Pimpinannya Tewas dalam Serangan Fajar di Timika, Manajemen Markas Pusat Tentara Pembebasan Nasional Papua Barat (TPNPB) menyatakan telah menerima laporan resmi bahwa satu pimpinan dan satu anggota TPNPB serta siswa kelas 1 SMU tewas dalam serangan aparat keamanan di Kampung Iwaka Kabupaten Timika Papua 1004. Dalam serangan fajar itu pasukan keamanan juga telah menangkap seorang Karyawan Freeport atas nama Ivan Sambom.,2020-04-12 12:04:00,Gatra.com,https://www.gatra.com/detail/news/475253/politik/opm-akui-pimpinannya-tewas-dalam-serangan-fajar-di-timika,Politik
